2024-02-20 17:33:35,361 INFO    StreamThr :28401 [internal.py:wandb_internal():86] W&B internal server running at pid: 28401, started at: 2024-02-20 17:33:35.360812
2024-02-20 17:33:35,362 DEBUG   HandlerThread:28401 [handler.py:handle_request():146] handle_request: status
2024-02-20 17:33:35,366 INFO    WriterThread:28401 [datastore.py:open_for_write():87] open: /home/uosai/바탕화면/off-policy/offpolicy/scripts/results/StarCraft2/3m/vdn/train/wandb/run-20240220_173335-b3r2i6cl/run-b3r2i6cl.wandb
2024-02-20 17:33:35,367 DEBUG   SenderThread:28401 [sender.py:send():382] send: header
2024-02-20 17:33:35,380 DEBUG   SenderThread:28401 [sender.py:send():382] send: run
2024-02-20 17:33:35,898 INFO    SenderThread:28401 [dir_watcher.py:__init__():211] watching files in: /home/uosai/바탕화면/off-policy/offpolicy/scripts/results/StarCraft2/3m/vdn/train/wandb/run-20240220_173335-b3r2i6cl/files
2024-02-20 17:33:35,898 INFO    SenderThread:28401 [sender.py:_start_run_threads():1136] run started: b3r2i6cl with start time 1708418015.36078
2024-02-20 17:33:35,907 DEBUG   HandlerThread:28401 [handler.py:handle_request():146] handle_request: check_version
2024-02-20 17:33:35,907 DEBUG   SenderThread:28401 [sender.py:send_request():409] send_request: check_version
2024-02-20 17:33:35,950 DEBUG   HandlerThread:28401 [handler.py:handle_request():146] handle_request: run_start
2024-02-20 17:33:35,962 DEBUG   HandlerThread:28401 [system_info.py:__init__():27] System info init
2024-02-20 17:33:35,962 DEBUG   HandlerThread:28401 [system_info.py:__init__():42] System info init done
2024-02-20 17:33:35,962 INFO    HandlerThread:28401 [system_monitor.py:start():194] Starting system monitor
2024-02-20 17:33:35,962 INFO    SystemMonitor:28401 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-20 17:33:35,962 INFO    HandlerThread:28401 [system_monitor.py:probe():214] Collecting system info
2024-02-20 17:33:35,962 INFO    SystemMonitor:28401 [interfaces.py:start():190] Started cpu monitoring
2024-02-20 17:33:35,963 INFO    SystemMonitor:28401 [interfaces.py:start():190] Started disk monitoring
2024-02-20 17:33:35,963 INFO    SystemMonitor:28401 [interfaces.py:start():190] Started gpu monitoring
2024-02-20 17:33:35,964 INFO    SystemMonitor:28401 [interfaces.py:start():190] Started memory monitoring
2024-02-20 17:33:35,964 INFO    SystemMonitor:28401 [interfaces.py:start():190] Started network monitoring
2024-02-20 17:33:35,976 DEBUG   HandlerThread:28401 [system_info.py:probe():151] Probing system
2024-02-20 17:33:35,982 DEBUG   HandlerThread:28401 [system_info.py:_probe_git():136] Probing git
2024-02-20 17:33:35,995 DEBUG   HandlerThread:28401 [system_info.py:_probe_git():144] Probing git done
2024-02-20 17:33:35,995 DEBUG   HandlerThread:28401 [system_info.py:probe():199] Probing system done
