2024-02-21 16:51:59,972 INFO    MainThread:108154 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_setup.py:_flush():76] Configure stats pid to 108154
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_setup.py:_flush():76] Loading settings from /home/uosai/.config/wandb/settings
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_setup.py:_flush():76] Loading settings from /home/uosai/바탕화면/off-policy/offpolicy/scripts/train/wandb/settings
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'offpolicy/scripts/train/train_smac.py', 'program_abspath': '/home/uosai/바탕화면/off-policy/offpolicy/scripts/train/train_smac.py', 'program': '/home/uosai/바탕화면/off-policy/offpolicy/scripts/train/train_smac.py'}
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_init.py:_log_setup():526] Logging user logs to /home/uosai/바탕화면/off-policy/offpolicy/scripts/results/StarCraft2/8m_vs_9m/vdn/use_prev_act_True__vdn_42/wandb/run-20240221_165159-c8wo6ikv/logs/debug.log
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_init.py:_log_setup():527] Logging internal logs to /home/uosai/바탕화면/off-policy/offpolicy/scripts/results/StarCraft2/8m_vs_9m/vdn/use_prev_act_True__vdn_42/wandb/run-20240221_165159-c8wo6ikv/logs/debug-internal.log
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_init.py:init():566] calling init triggers
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_init.py:init():616] starting backend
2024-02-21 16:51:59,973 INFO    MainThread:108154 [wandb_init.py:init():620] setting up manager
2024-02-21 16:51:59,976 INFO    MainThread:108154 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-21 16:51:59,977 INFO    MainThread:108154 [wandb_init.py:init():628] backend started and connected
2024-02-21 16:51:59,981 INFO    MainThread:108154 [wandb_init.py:init():720] updated telemetry
2024-02-21 16:51:59,996 INFO    MainThread:108154 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-21 16:52:03,271 INFO    MainThread:108154 [wandb_run.py:_on_init():2254] communicating current version
2024-02-21 16:52:03,361 INFO    MainThread:108154 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-21 16:52:03,361 INFO    MainThread:108154 [wandb_init.py:init():804] starting run threads in backend
2024-02-21 16:52:04,638 INFO    MainThread:108154 [wandb_run.py:_console_start():2233] atexit reg
2024-02-21 16:52:04,638 INFO    MainThread:108154 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-21 16:52:04,638 INFO    MainThread:108154 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-21 16:52:04,638 INFO    MainThread:108154 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-21 16:52:04,638 INFO    MainThread:108154 [wandb_init.py:init():847] run started, returning control to user process
